№ |   Incremental   |  Binary  |  Interpolation

0 | ms:52 c:5382184 | ms:0 c:23 | ms:0 c:3
1 | ms:91 c:9286459 | ms:0 c:18 | ms:0 c:5
2 | ms:96 c:9517184 | ms:0 c:23 | ms:0 c:5
3 | ms:61 c:6094168 | ms:0 c:24 | ms:0 c:6
4 | ms:101 c:10000000 | ms:0 c:23 | ms:0 c:5
5 | ms:21 c:2161054 | ms:0 c:22 | ms:0 c:6
6 | ms:99 c:10000000 | ms:0 c:24 | ms:0 c:6
7 | ms:32 c:3302018 | ms:0 c:23 | ms:0 c:3
8 | ms:5 c:587855 | ms:0 c:23 | ms:0 c:5
9 | ms:91 c:9126320 | ms:0 c:22 | ms:0 c:3
10 | ms:101 c:10000000 | ms:0 c:23 | ms:0 c:5
11 | ms:100 c:10000000 | ms:0 c:24 | ms:0 c:3
12 | ms:97 c:9621985 | ms:0 c:21 | ms:0 c:7
13 | ms:62 c:6313816 | ms:0 c:22 | ms:0 c:5
14 | ms:17 c:1715309 | ms:0 c:24 | ms:0 c:5
15 | ms:3 c:298156 | ms:0 c:15 | ms:0 c:6
16 | ms:74 c:7390730 | ms:0 c:21 | ms:0 c:4
17 | ms:81 c:7953445 | ms:0 c:24 | ms:0 c:4
18 | ms:16 c:1631567 | ms:0 c:23 | ms:0 c:4
19 | ms:100 c:10000000 | ms:0 c:24 | ms:0 c:4
20 | ms:100 c:10000000 | ms:0 c:23 | ms:0 c:3
21 | ms:41 c:4237512 | ms:0 c:21 | ms:0 c:5
22 | ms:13 c:1374133 | ms:0 c:22 | ms:0 c:3
23 | ms:9 c:1003766 | ms:0 c:22 | ms:0 c:6
24 | ms:4 c:468092 | ms:0 c:22 | ms:0 c:3
